#
# Halo    	Host ID   	#Satellites	Mean Vx (km/s)	Std. Deviation of Vx (km/s)
#
iCharybdis	15362565  	40        	-11.116   	46.8605795846
iKauket   	20468416  	53        	3.31754716981	51.1168238341
iKauket   	20439477  	35        	16.7125714286	35.7832829559
iLincoln  	12969806  	31        	8.29064516129	50.983280557
iLincoln  	12970629  	21        	-11.2476190476	37.4097790761
iOrion    	24703280  	67        	46.5994029851	77.1961151849
iRomulus  	13886889  	49        	-1.22367346939	38.854321205
iRomulus  	13888072  	41        	60.3270731707	79.9965282553
iScylla   	9380170   	39        	0.329487179487	46.1853393849
iSerana   	16845962  	56        	8.45892857143	44.6112215895
iSiegfried	10065172  	169       	34.8435502959	99.4418735533
iSonny    	17475198  	46        	0.664130434783	39.317795317
iTaurus   	7733524   	53        	10.7137735849	54.4008925158
iZeus     	12776558  	49        	-20.3144897959	77.1587688897
iZeus     	12787799  	35        	-8.55314285714	49.5944784237
iZeus     	12790590  	32        	10.563125 	50.3481130131
iZeus     	12791807  	48        	3.03125   	39.1863940368
Kauket&Kek	20836695  	73        	46.6893150685	75.9576040243
Siegfried&Roy	64789957  	104       	-43.0818269231	68.1226440632
Siegfried&Roy	64831412  	38        	44.1381578947	96.9347034119
Siegfried&Roy	64869686  	56        	-1.76375  	63.503375123
Venus&Serana	52721092  	54        	7.83462962963	41.3937882132
Zeus&Hera 	26111369  	45        	-1.35355555556	42.7632616028
Zeus&Hera 	26112952  	51        	-32.8247058824	72.560403569
Zeus&Hera 	26152588  	43        	-0.956744186047	45.3105720874
