# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
40435014 35.12245 35.05030 35.09417  -84.35   79.70  114.81    3.61    3.55 9.9296e+05 2.0014e+06 2.60000 0.19487 0.53520 0.24217  107.69       74 40440170 40440170
40435015 35.10127 35.05097 35.07579  -71.14  132.62  113.32    3.10    4.49 7.3282e+05 5.9892e+06 2.34930 0.19015 0.27620  1.9866  506.19       55 40441608 40440170
40435017 35.17272 35.13279 35.09772  -78.35  132.65   92.52    3.54    4.83 1.0166e+06 7.4624e+06 2.61972 0.20289 0.27620  3.0303  690.52       96 40440170 40440170
40435019 35.18014 35.13252 35.14507  -87.89   96.68  108.69    3.44    4.27 1.2293e+06 3.9873e+06 2.79155 0.26608 0.72110 0.90963  284.99      104 40440170 40440170
40435025 35.21659 35.16273 35.08211  -69.26   93.36   11.71    3.33    4.84 2.293e+06 3.5465e+06 3.43662 0.33915 0.70780 0.72639  241.54      139 40440170 40440170
40435026 35.15611 35.20441 35.03083 -102.93   92.29  -20.72    5.16    6.36 1.7873e+07 2.5947e+07 6.81268 0.64191 0.86720  33.158  4011.9     1300 40440170 40440170
40435036 35.14863 35.16828 35.01335  -71.38   38.03  105.79    4.62    4.73 5.2718e+06 1.6319e+07 4.53521 0.41446 0.48540  13.613  2084.5      446 40440170 40440170
40435044 35.09442 35.14590 35.08146 -146.57   14.08   31.22    3.30    3.95 4.2549e+06 6.0991e+06 4.22254 0.60650 0.86720  2.0571  519.35      315 40440170 40440170
40435048 35.20015 35.20693 35.15454 -147.36   18.55  -30.18    8.89   10.60 2.231e+07 1.1554e+08 7.33662 0.50150 0.49870   583.4   33053     1131 40440170 40440170
40435052 35.15904 35.16414 35.14358 -149.54   28.27   71.20    4.45    5.53 1.7972e+06 9.2826e+06 3.16761 0.21048 0.30280  4.6077  939.77       91 40440170 40440170
40435054 35.12886 35.17686 35.15851 -148.51   68.88  110.75    3.31    4.05 1.3239e+06 5.6502e+06 2.86056 0.24137 0.44560  1.7763  466.22      149 40440170 40440170
40435059 35.20458 35.19076 35.13106  -37.12   93.49   80.71    4.51    7.86 1.3711e+06 2.2507e+07 2.89437 0.22523 0.18990  25.235    3282       62 40440170 40440170
40435060 35.18045 35.20585 35.14648  -28.57  105.50   38.89    7.97   14.42 9.1254e+06 1.3621e+08 5.44507 0.35725 0.18990  800.29   41703      447 40440170 40440170
40435077 35.19889 35.17246 35.20793 -260.42   19.51   22.32    6.34    7.91 5.8859e+06 3.2616e+07 4.70423 0.40728 0.26290  51.445  5541.6      288 40436887 40440170
40435078 35.19970 35.17908 35.20097 -257.84   29.63   27.82    4.56    4.29 1.8915e+06 5.8235e+06 3.22254 0.26443 0.43230  1.8824  486.53       96 40440170 40440170
40435079 35.21444 35.19006 35.22631 -290.13   90.19   -8.78    4.79    6.77 2.7901e+06 5.3775e+07 3.66761 0.28798 0.37920  134.36   11226      127 40440170 40440170
40435081 35.20390 35.18792 35.20635 -307.56   -7.49   66.29    4.23    4.95 1.182e+06 4.2e+06 2.75493 0.20503 0.22640  1.0051  306.69       51 40440170 40440170
40435083 35.20932 35.18490 35.22724 -294.19   50.18   68.84    5.75    6.95 3.0732e+06 1.6145e+07 3.78873 0.19405 0.23970  13.336  2053.2      147 40440170 40440170
40435086 35.22110 35.18955 35.21549 -161.78  125.91 -176.29    6.36    8.76 5.7915e+06 2.4343e+07 4.67887 0.27656 0.18990  29.335  3666.2      272 40440170 40440170
40435087 35.22423 35.18300 35.18770 -138.76  -28.77  -94.33    4.59    6.18 2.2465e+06 8.6207e+06 3.41268 0.23134 0.18990  3.9976  846.55      110 40440170 40440170
40435091 35.22377 35.21601 35.20468 -115.44   74.29 -199.64    6.64    8.76 1.0213e+07 7.0868e+07 5.65352 0.51150 0.45880  228.25   16577      601 40440170 40440170
40435094 35.19606 35.17828 35.23593 -103.56  107.63 -159.11    3.27    3.79 1.4887e+06 6.2803e+06 2.97606 0.23839 0.31610  2.1761  541.27      146 40440170 40440170
40435097 35.23024 35.19718 35.18734  -73.72  121.53 -100.79    4.21    6.37 1.5127e+06 1.7014e+07 2.99155 0.20647 0.32930  14.747  2210.9       72 40440170 40440170
40435098 35.23563 35.20993 35.26975  -69.82   54.33  -93.72    5.72    5.53 2.8845e+06 7.1864e+06 3.70845 0.18033 0.27620  2.8188  654.73      126 40440170 40440170
40435101 35.20628 35.21506 35.23961 -138.26 -200.14   84.37    3.50    3.14 2.0099e+06 3.9948e+06 3.28873 0.33260 0.78750 0.91293  285.75      150 40440170 40440170
40435102 35.20962 35.21049 35.23852 -155.01 -194.74   71.60    3.03    2.34 2.1282e+06 3.3338e+06 3.35211 0.71054 0.90040 0.64506  221.34      111 40440170 40440170
40435104 35.16385 35.16973 35.21583 -168.02  -92.03  124.85    3.09    3.04 5.9099e+05 1.4029e+06 2.18732 0.12782 0.28950 0.12242  65.204       30 40440170 40440170
40435106 35.21906 35.20069 35.22632 -131.48 -111.29  -87.42    3.69    3.26 7.3282e+05 2.1042e+06 2.34930 0.14205 0.30280 0.26662  115.58       37 40440170 40440170
40435112 35.23527 35.17338 35.20165  -99.06 -138.22   34.26    3.84    4.63 1.4423e+06 5.1061e+06 2.94366 0.28945 0.20000  1.4625   404.1       78 40440170 40440170
40435130 35.15059 34.97520 35.23628  -76.87  112.99  122.87    4.36    5.41 2.7901e+06 1.1654e+07 3.66761 0.35842 0.32930  7.1322  1295.9      391 40440170 40440170
40435131 35.16059 34.96477 35.18523  -43.84  109.34   77.77    3.34    3.78 1.9859e+06 3.7277e+06 3.27465 0.45470 0.60160 0.79933  259.15      287 40440170 40440170
40435133 35.13234 34.98638 35.32246  -69.19   88.26  113.95   10.35   17.60 2.7042e+07 2.1668e+08 7.82113 0.48819 0.17660  1951.3   80320     1360 40440170 40440170
40435137 34.99221 34.99313 35.36725  -96.58   80.75   72.48    4.65    4.92 6.7141e+06 1.7082e+07 4.91549 0.56953 0.68130  14.861  2223.4      680       -1       -1
40435141 34.93968 35.06879 35.23018 -111.87   90.14  104.88    3.79    4.10 3.9958e+06 6.1624e+06 4.13521 0.37481 0.80080  2.0983  526.98      314       -1       -1
