#
# Halo    	Host ID   	#Satellites	Mean Vx (km/s)	Std. Deviation of Vx (km/s)
#
iBurr     	8537292   	4         	-1.15     	23.3009774473
iCharybdis	15365045  	4         	-9.3625   	30.0303283157
iCharybdis	15357685  	1         	-8.79     	0.0       
iCharybdis	15399797  	8         	-19.35125 	20.4494825347
iCharybdis	15345968  	0         	0.0       	0.0       
iCher     	10262323  	4         	16.7725   	19.5069505241
iDouglas  	8528708   	3         	27.1566666667	14.6295826628
iDouglas  	8528966   	2         	-0.775    	10.635    
iHall     	7498945   	1         	-18.66    	0.0       
iHamilton 	7563520   	3         	-24.17    	34.1403368466
iHera     	6590892   	1         	-27.03    	0.0       
iHera     	6591315   	0         	0.0       	0.0       
iHera     	6596551   	4         	-25.9175  	32.0105602692
iHera     	6597199   	8         	7.5775    	27.9150321288
iHera     	6621445   	2         	-15.73    	7.2       
iHera     	6628323   	2         	-19.055   	5.405     
iKauket   	20408520  	2         	19.225    	13.055    
iKauket   	20467901  	2         	1.73      	28.65     
iLincoln  	12962322  	1         	-23.26    	0.0       
iLincoln  	12951899  	2         	-52.21    	4.89      
iLouise   	6762263   	8         	-8.3425   	31.2936518123
iLouise   	6752075   	4         	-39.6825  	74.5563647099
iLouise   	6762378   	3         	2.93      	21.376081649
iOrion    	24751513  	3         	3.06      	39.6689021779
iOrion    	24752019  	5         	-21.726   	13.6693885745
iOrion    	24879740  	2         	-21.845   	36.255    
iRemus    	9799740   	5         	8.19      	23.3997410242
iRemus    	9807493   	5         	12.734    	19.0549139069
iRomulus  	13891743  	6         	3.62666666667	42.3699011354
iRomulus  	13893247  	1         	21.65     	0.0       
iRomulus  	13892775  	4         	-3.09     	25.2881622503
iRomulus  	13893378  	7         	-4.79     	24.1144799417
iRoy      	12533647  	1         	-196.31   	0.0       
iRoy      	12533920  	12        	9.035     	17.1385187516
iRoy      	12556576  	2         	-28.965   	8.245     
iRoy      	12606732  	2         	-27.81    	14.61     
iScylla   	9381314   	0         	0.0       	0.0       
iSerana   	16823796  	3         	-29.0466666667	7.8558527368
iSerana   	16826307  	0         	0.0       	0.0       
iSerana   	16826309  	2         	18.52     	11.91     
iSerana   	16831358  	2         	-1.77     	16.68     
iSonny    	17487239  	6         	6.67333333333	26.6779207502
iSonny    	17415339  	3         	-1.14     	6.17453372059
iSonny    	17455837  	0         	0.0       	0.0       
iSonny    	17432678  	3         	-7.51666666667	4.22996716562
iSonny    	17432243  	5         	-0.382    	28.9512406643
iSonny    	17454937  	2         	12.765    	9.395     
iTaurus   	7765151   	1         	-12.07    	0.0       
iTaurus   	7798806   	2         	0.685     	22.475    
iVenus    	12969712  	6         	-27.3233333333	25.8451830887
iVenus    	13064112  	4         	-13.79    	11.7543927959
iZeus     	12776520  	2         	-25.315   	12.085    
iZeus     	12792259  	7         	8.49285714286	33.3735604138
iZeus     	12795292  	7         	25.6371428571	27.9136053434
iZeus     	12795917  	3         	9.57      	17.1162203772
iZeus     	12796042  	3         	-13.7     	31.5261203872
Kauket&Kek	20830644  	1         	-58.91    	0.0       
Kauket&Kek	20831317  	3         	-48.1666666667	30.0405962361
Kauket&Kek	20838235  	1         	27.74     	0.0       
Kauket&Kek	20851738  	4         	13.225    	32.2680155107
Kauket&Kek	20867658  	1         	-6.85     	0.0       
Kauket&Kek	20868280  	6         	-6.35166666667	14.4607657896
Kauket&Kek	20931814  	4         	5.1125    	17.0779556373
Kauket&Kek	20947868  	4         	19.335    	19.6379804206
Kauket&Kek	20957590  	1         	2.31      	0.0       
Kauket&Kek	20962858  	4         	-8.3125   	34.4335064835
Lincoln&Douglas	14342915  	3         	18.3333333333	11.6964961515
Lincoln&Douglas	14376948  	0         	0.0       	0.0       
Romulus&Remus	13134566  	0         	0.0       	0.0       
Romulus&Remus	13137013  	8         	2.4325    	25.5563405782
Romulus&Remus	13137418  	2         	38.105    	10.085    
Romulus&Remus	13147495  	6         	-19.7333333333	20.1227124304
Romulus&Remus	13148309  	6         	8.75      	35.0752015912
Romulus&Remus	13177179  	4         	-13.035   	16.9332136643
Romulus&Remus	13187682  	1         	-73.02    	0.0       
Siegfried&Roy	64488461  	4         	21.8425   	15.2366685581
Siegfried&Roy	64708386  	4         	35.105    	35.7871635506
Siegfried&Roy	64779433  	6         	6.62666666667	25.1331783815
Siegfried&Roy	64784645  	2         	-45.72    	3.9       
Taurus&Orion	18582734  	2         	-9.165    	17.515    
Taurus&Orion	18679268  	1         	-22.44    	0.0       
Thelma&Louise	16662354  	7         	-15.3285714286	19.8739567047
Thelma&Louise	16697089  	5         	2.038     	26.1722932889
Venus&Serana	52731468  	3         	-21.4233333333	20.737883745
Venus&Serana	52901457  	2         	-13.05    	7.37      
Venus&Serana	52959177  	8         	67.54375  	79.9848598076
Venus&Serana	52963792  	1         	-17.24    	0.0       
Venus&Serana	53033449  	1         	-15.08    	0.0       
Zeus&Hera 	26113364  	7         	76.8457142857	114.744480335
Zeus&Hera 	26222040  	3         	-4.94     	21.8790965688
