#
# Halo    	Host ID   	#Satellites	Mean Vx (km/s)	Std. Deviation of Vx (km/s)
#
iBurr     	8537292   	11        	1.86909090909	17.9397620611
iCharybdis	15365045  	6         	9.52333333333	36.945258905
iCharybdis	15357685  	4         	-11.27    	14.4939694356
iCharybdis	15399797  	12        	-14.0175  	19.4735932847
iCharybdis	15345968  	2         	-81.56    	37.52     
iCher     	10262323  	4         	16.7725   	19.5069505241
iDouglas  	8528708   	4         	12.7125   	28.043187564
iDouglas  	8528966   	7         	-3.68857142857	12.9954007563
iHall     	7498945   	4         	2.1075    	24.5063903656
iHamilton 	7563520   	7         	-16.33    	30.9274127134
iHera     	6590892   	2         	-12.25    	14.78     
iHera     	6591315   	0         	0.0       	0.0       
iHera     	6596551   	8         	-19.8825  	26.2482669666
iHera     	6597199   	13        	8.39153846154	28.2537901736
iHera     	6621445   	7         	4.21857142857	21.4427000089
iHera     	6628323   	7         	12.1757142857	22.4213749146
iKauket   	20408520  	5         	1.444     	18.3723080749
iKauket   	20467901  	8         	-5.60375  	31.0471669148
iLincoln  	12962322  	1         	-23.26    	0.0       
iLincoln  	12951899  	4         	9.0725    	84.0658281869
iLouise   	6762263   	12        	0.586666666667	29.3478691258
iLouise   	6752075   	6         	-26.5116666667	64.8753105109
iLouise   	6762378   	5         	7.822     	18.8846301526
iOrion    	24751513  	9         	-1.18888888889	39.0711884313
iOrion    	24752019  	8         	-25.0125  	22.8344453348
iOrion    	24879740  	6         	-3.49     	27.3109758156
iRemus    	9799740   	13        	6.71538461538	20.5452471073
iRemus    	9807493   	6         	17.1116666667	19.9598249964
iRomulus  	13891743  	13        	3.13      	34.5158102012
iRomulus  	13893247  	1         	21.65     	0.0       
iRomulus  	13892775  	8         	-12.27625 	25.3027527838
iRomulus  	13893378  	10        	-6.479    	24.9712993054
iRoy      	12533647  	1         	-196.31   	0.0       
iRoy      	12533920  	19        	7.55052631579	17.5876635813
iRoy      	12556576  	2         	-28.965   	8.245     
iRoy      	12606732  	2         	-27.81    	14.61     
iScylla   	9381314   	1         	-183.27   	0.0       
iSerana   	16823796  	4         	15.145    	76.8439719497
iSerana   	16826307  	0         	0.0       	0.0       
iSerana   	16826309  	2         	18.52     	11.91     
iSerana   	16831358  	2         	-1.77     	16.68     
iSonny    	17487239  	12        	0.211666666667	26.9854522022
iSonny    	17415339  	7         	12.0328571429	18.5559045006
iSonny    	17455837  	8         	0.3925    	18.9594354808
iSonny    	17432678  	4         	2.4       	17.5624685053
iSonny    	17432243  	10        	-2.206    	30.4582961441
iSonny    	17454937  	3         	31.56     	27.6649248448
iTaurus   	7765151   	6         	6.95      	24.599132776
iTaurus   	7798806   	14        	3.05357142857	22.4366971745
iVenus    	12969712  	11        	-14.1190909091	33.1352167653
iVenus    	13064112  	8         	-6.0025   	18.4089759017
iZeus     	12776520  	3         	-24.6     	9.9190355714
iZeus     	12792259  	14        	-4.26785714286	34.4992165912
iZeus     	12795292  	9         	14.1066666667	32.7577414091
iZeus     	12795917  	7         	8.12714285714	18.5517005106
iZeus     	12796042  	7         	-5.07142857143	45.7545262175
Kauket&Kek	20830644  	7         	-8.94428571429	47.6478192747
Kauket&Kek	20831317  	3         	-48.1666666667	30.0405962361
Kauket&Kek	20838235  	6         	1.19333333333	18.6557003502
Kauket&Kek	20851738  	4         	13.225    	32.2680155107
Kauket&Kek	20867658  	4         	-7.6275   	4.35101927713
Kauket&Kek	20868280  	11        	-5.43181818182	12.9229020229
Kauket&Kek	20931814  	7         	6.26571428571	18.0723457701
Kauket&Kek	20947868  	12        	15.81     	21.2373389733
Kauket&Kek	20957590  	4         	5.8275    	2.50808069049
Kauket&Kek	20962858  	7         	4.65285714286	30.9406088749
Lincoln&Douglas	14342915  	6         	6.01666666667	30.1924563794
Lincoln&Douglas	14376948  	1         	-12.96    	0.0       
Romulus&Remus	13134566  	3         	-60.8633333333	47.5068909621
Romulus&Remus	13137013  	14        	1.11857142857	27.4506333149
Romulus&Remus	13137418  	4         	23.5675   	27.5890661087
Romulus&Remus	13147495  	20        	-10.1625  	21.1200634173
Romulus&Remus	13148309  	15        	10.0453333333	30.7684418123
Romulus&Remus	13177179  	11        	4.37      	20.5616558406
Romulus&Remus	13187682  	4         	-26.5725  	32.6281208277
Siegfried&Roy	64488461  	4         	21.8425   	15.2366685581
Siegfried&Roy	64708386  	5         	24.02     	38.9369459511
Siegfried&Roy	64779433  	10        	12.301    	30.9276861242
Siegfried&Roy	64784645  	7         	-59.9928571429	75.1572695304
Taurus&Orion	18582734  	5         	21.772    	31.850879046
Taurus&Orion	18679268  	4         	2.9475    	21.9164337599
Thelma&Louise	16662354  	14        	-1.32142857143	24.691129945
Thelma&Louise	16697089  	10        	-9.526    	31.9576532931
Venus&Serana	52731468  	9         	-26.47    	53.9834594009
Venus&Serana	52901457  	8         	5.47      	18.4660465449
Venus&Serana	52959177  	14        	70.4414285714	94.5012793456
Venus&Serana	52963792  	4         	-60.6975  	95.9524846929
Venus&Serana	53033449  	2         	-24.985   	9.905     
Zeus&Hera 	26113364  	12        	60.4783333333	95.1092743316
Zeus&Hera 	26222040  	5         	-4.776    	18.2427197534
