#
# Halo    	Host ID   	#Satellites	Mean Vx (km/s)	Std. Deviation of Vx (km/s)
#
iCharybdis	15362565  	7         	-14.51    	34.9847832228
iKauket   	20468416  	16        	-2.771875 	43.4256014954
iKauket   	20439477  	16        	13.736875 	29.2029000526
iLincoln  	12969806  	10        	3.663     	44.6082322111
iLincoln  	12970629  	2         	16.21     	2.8       
iOrion    	24703280  	15        	23.696    	78.8438683137
iRomulus  	13886889  	16        	10.4375   	49.3285151434
iRomulus  	13888072  	6         	-8.27666666667	17.0132670453
iScylla   	9380170   	8         	0.96875   	44.084989633
iSerana   	16845962  	20        	3.228     	50.0331522693
iSiegfried	10065172  	10        	6.452     	57.1934938258
iSonny    	17475198  	12        	-5.91916666667	42.6752130357
iTaurus   	7733524   	9         	-1.67555555556	31.7357019813
iZeus     	12776558  	9         	-24.6222222222	84.3062285531
iZeus     	12787799  	14        	3.66428571429	37.6628488252
iZeus     	12790590  	9         	-13.7211111111	28.7605622895
iZeus     	12791807  	12        	1.64916666667	31.4599219798
Kauket&Kek	20836695  	15        	7.41266666667	52.8765228895
Siegfried&Roy	64789957  	7         	-1.33428571429	28.9448208331
Siegfried&Roy	64831412  	8         	-1.60625  	41.579059314
Siegfried&Roy	64869686  	15        	31.9846666667	36.1190819128
Venus&Serana	52721092  	8         	15.17875  	52.1015564637
Zeus&Hera 	26111369  	16        	0.556875  	42.0259923617
Zeus&Hera 	26112952  	19        	-27.6536842105	57.7693013733
Zeus&Hera 	26152588  	16        	-0.554375 	28.3143459594
