#
# Halo    	Host ID   	#Satellites	Mean Vx (km/s)	Std. Deviation of Vx (km/s)
#
iCher     	10258275  	74        	-6.07635135135	52.2033088569
iHall     	7467464   	74        	36.2275675676	56.8465529586
iHall     	7470746   	171       	3.83777777778	66.9910050589
iOrion    	24734379  	158       	-18.1465822785	54.729727092
iOrion    	24734997  	78        	13.3867948718	57.3045088505
iOrion    	24742682  	87        	-5.9732183908	51.3883062751
iRemus    	9748435   	84        	-3.03154761905	62.7770209797
iRoy      	12552980  	87        	-2.96333333333	51.7994283612
iScylla   	9384762   	108       	-3.49981481481	61.1575970718
iScylla   	9387610   	88        	-0.5875   	64.0097090514
Romulus&Remus	13144369  	64        	6.34078125	60.4412632568
Siegfried&Roy	64554642  	129       	11.2629457364	87.6926863152
Venus&Serana	52900128  	98        	-24.8759183673	73.7601512327
