#
# Halo    	Host ID   	#Satellites	Mean Vx (km/s)	Std. Deviation of Vx (km/s)
#
iCher     	10258275  	65        	-4.92230769231	54.3795217047
iHall     	7467464   	59        	42.8655932203	56.0335320997
iHall     	7470746   	89        	11.5339325843	60.0788608268
iOrion    	24734379  	72        	-4.37194444444	61.1250282126
iOrion    	24734997  	65        	10.9338461538	56.6709126772
iOrion    	24742682  	72        	-11.0897222222	51.8305831792
iRemus    	9748435   	71        	0.480422535211	65.8914676653
iRoy      	12552980  	60        	8.918     	46.177309861
iScylla   	9384762   	83        	4.20638554217	63.8365322491
iScylla   	9387610   	67        	13.0752238806	51.0879728335
Romulus&Remus	13144369  	52        	3.8325    	63.7738114467
Siegfried&Roy	64554642  	99        	6.20313131313	79.1819010241
Venus&Serana	52900128  	63        	-3.40523809524	62.2070385916
