#
# Sat ID  	Host ID   	Sat PID   	Sat UpID  
#
8491391   	8537292   	-1        	-1        
8537223   	8537292   	-1        	-1        
8537692   	8537292   	-1        	-1        
15365033  	15365045  	-1        	-1        
15393034  	15365045  	-1        	-1        
15394607  	15365045  	-1        	-1        
15365037  	15365045  	-1        	-1        
15393053  	15365045  	-1        	-1        
15357580  	15357685  	15357990  	15357990  
15357528  	15357685  	-1        	-1        
15357513  	15357685  	-1        	-1        
15399713  	15399797  	-1        	-1        
15399876  	15399797  	-1        	-1        
15399712  	15399797  	-1        	-1        
15399702  	15399797  	-1        	-1        
15404813  	15399797  	-1        	-1        
15346638  	15345968  	15346649  	15346649  
15402068  	15345968  	-1        	-1        
15346700  	15345968  	15346649  	15346649  
15400014  	15345968  	-1        	-1        
15346677  	15345968  	15346649  	15346649  
15400016  	15345968  	-1        	-1        
15346624  	15345968  	15346638  	15346649  
15346628  	15345968  	15346649  	15346649  
15346679  	15345968  	15346649  	15346649  
15346678  	15345968  	15346677  	15346649  
15345272  	15345968  	15349406  	15349406  
15346644  	15345968  	15346638  	15346649  
15343175  	15345968  	15349406  	15349406  
15346630  	15345968  	15346649  	15346649  
15346675  	15345968  	15346649  	15346649  
15346701  	15345968  	15349406  	15349406  
15345274  	15345968  	15349406  	15349406  
15347483  	15345968  	15349406  	15349406  
10325641  	10262323  	-1        	-1        
10325652  	10262323  	-1        	-1        
10326048  	10262323  	-1        	-1        
10326050  	10262323  	-1        	-1        
8528652   	8528708   	8528659   	8528659   
8528654   	8528708   	8528659   	8528659   
8528659   	8528708   	-1        	-1        
8541699   	8528708   	-1        	-1        
8541720   	8528708   	-1        	-1        
8541802   	8528708   	-1        	-1        
8541805   	8528708   	-1        	-1        
8542527   	8528708   	-1        	-1        
8542594   	8528708   	-1        	-1        
8528929   	8528966   	-1        	-1        
8564493   	8528966   	-1        	-1        
8564514   	8528966   	-1        	-1        
8565174   	8528966   	-1        	-1        
8565497   	8528966   	-1        	-1        
7562190   	7563520   	7568489   	7568489   
7562368   	7563520   	-1        	-1        
7562377   	7563520   	-1        	-1        
7562484   	7563520   	-1        	-1        
7562525   	7563520   	7568489   	7568489   
7562741   	7563520   	7568489   	7568489   
7562849   	7563520   	-1        	-1        
7562875   	7563520   	7568489   	7568489   
7562932   	7563520   	7568489   	7568489   
7562942   	7563520   	7568489   	7568489   
7563151   	7563520   	7568489   	7568489   
7563177   	7563520   	7568489   	7568489   
7563342   	7563520   	7568489   	7568489   
7563361   	7563520   	-1        	-1        
7563507   	7563520   	-1        	-1        
7563526   	7563520   	-1        	-1        
7563769   	7563520   	-1        	-1        
7563889   	7563520   	7568489   	7568489   
7563939   	7563520   	7568489   	7568489   
7563960   	7563520   	-1        	-1        
7563986   	7563520   	7568489   	7568489   
7564102   	7563520   	7568489   	7568489   
7564282   	7563520   	7568489   	7568489   
7564726   	7563520   	7568489   	7568489   
7564858   	7563520   	7568489   	7568489   
7564911   	7563520   	7568489   	7568489   
7564922   	7563520   	7568489   	7568489   
7565337   	7563520   	7568489   	7568489   
7565424   	7563520   	7568489   	7568489   
7565431   	7563520   	7568489   	7568489   
7565496   	7563520   	7568489   	7568489   
7565522   	7563520   	7568489   	7568489   
7565739   	7563520   	7564724   	7568489   
7565775   	7563520   	7568489   	7568489   
7565781   	7563520   	7568489   	7568489   
7565792   	7563520   	7568489   	7568489   
7565915   	7563520   	7567854   	7568489   
