#
# Halo    	Host ID   	#Satellites	Mean Vx (km/s)	Std. Deviation of Vx (km/s)
#
iBurr     	8537292   	6         	0.4       	20.0754493516
iCharybdis	15365045  	5         	-10.208   	26.9131190314
iCharybdis	15357685  	2         	-6.47     	2.32      
iCharybdis	15399797  	10        	-15.3     	20.5011146038
iCharybdis	15345968  	9         	-31.1544444444	69.6415450896
iCher     	10262323  	7         	42.3014285714	49.1146077859
iDouglas  	8528708   	7         	-19.8342857143	46.6332201814
iDouglas  	8528966   	3         	6.12      	13.0569598299
iHall     	7498945   	1         	-18.66    	0.0       
iHamilton 	7563520   	53        	-30.2437735849	84.0544414376
iHera     	6590892   	41        	19.626097561	69.0380055416
iHera     	6591315   	2         	130.12    	3.59      
iHera     	6596551   	13        	-32.3461538462	48.7534190578
iHera     	6597199   	9         	5.05777777778	27.2664224837
iHera     	6621445   	7         	46.6214285714	64.4010473359
iHera     	6628323   	9         	-29.9366666667	46.1503133491
iKauket   	20408520  	4         	41.6925   	24.2901033088
iKauket   	20467901  	5         	-5.73     	22.6418356146
iLincoln  	12962322  	5         	-30.486   	75.2209445833
iLincoln  	12951899  	4         	5.8825    	60.3730686544
iLouise   	6762263   	9         	-8.81     	29.533553799
iLouise   	6752075   	11        	-39.3972727273	58.3407778941
iLouise   	6762378   	4         	-8.3375   	26.8992995959
iOrion    	24751513  	4         	-17.8825  	49.9597965243
iOrion    	24752019  	5         	-21.726   	13.6693885745
iOrion    	24879740  	2         	-21.845   	36.255    
iRemus    	9799740   	5         	8.19      	23.3997410242
iRemus    	9807493   	5         	12.734    	19.0549139069
iRomulus  	13891743  	9         	-0.353333333333	35.3471042347
iRomulus  	13893247  	1         	21.65     	0.0       
iRomulus  	13892775  	5         	-4.784    	22.87075565
iRomulus  	13893378  	9         	-0.345555555556	23.4780560009
iRoy      	12533647  	18        	-7.64166666667	66.6034533848
iRoy      	12533920  	24        	-27.7529166667	61.3540218377
iRoy      	12556576  	2         	-28.965   	8.245     
iRoy      	12606732  	4         	-21.3275  	13.2699611435
iScylla   	9381314   	1         	-42.39    	0.0       
iSerana   	16823796  	6         	-38.5866666667	13.4969609748
iSerana   	16826307  	0         	0.0       	0.0       
iSerana   	16826309  	3         	19.55     	9.83296496485
iSerana   	16831358  	2         	-1.77     	16.68     
iSonny    	17487239  	6         	6.67333333333	26.6779207502
iSonny    	17415339  	4         	-6.955    	11.4033470964
iSonny    	17455837  	1         	-16.85    	0.0       
iSonny    	17432678  	4         	-19.5125  	21.0978557856
iSonny    	17432243  	6         	2.185     	27.0448896898
iSonny    	17454937  	15        	16.6406666667	66.5413619204
iTaurus   	7765151   	17        	10.5623529412	64.8382824943
iTaurus   	7798806   	4         	25.9625   	39.7970711077
iVenus    	12969712  	9         	-11.83    	35.646822517
iVenus    	13064112  	4         	-13.79    	11.7543927959
iZeus     	12776520  	7         	-32.1485714286	60.2347295239
iZeus     	12792259  	9         	5.26      	31.0458052275
iZeus     	12795292  	14        	-12.4971428571	52.2327824576
iZeus     	12795917  	5         	3.952     	14.9406792349
iZeus     	12796042  	5         	-12.554   	29.3282223123
Kauket&Kek	20830644  	10        	-8.823    	35.1611811662
Kauket&Kek	20831317  	5         	-32.146   	31.7737625093
Kauket&Kek	20838235  	6         	-28.4633333333	61.6375790858
Kauket&Kek	20851738  	36        	-29.0433333333	67.3719172043
Kauket&Kek	20867658  	3         	-7.76333333333	3.24916741472
Kauket&Kek	20868280  	7         	-6.35285714286	13.3880679437
Kauket&Kek	20931814  	6         	32.8516666667	44.9499864355
Kauket&Kek	20947868  	8         	10.97125  	19.8661593152
Kauket&Kek	20957590  	1         	2.31      	0.0       
Kauket&Kek	20962858  	5         	-29.486   	52.3622144681
Lincoln&Douglas	14342915  	36        	-0.704722222222	78.0704674739
Lincoln&Douglas	14376948  	2         	-44.035   	4.715     
Romulus&Remus	13134566  	3         	-62.59    	58.7510629691
Romulus&Remus	13137013  	10        	18.33     	42.8004513995
Romulus&Remus	13137418  	7         	69.2128571429	51.1996355217
Romulus&Remus	13147495  	8         	-18.73    	20.0931630163
Romulus&Remus	13148309  	6         	8.75      	35.0752015912
Romulus&Remus	13177179  	5         	-9.53     	16.6891305945
Romulus&Remus	13187682  	1         	-73.02    	0.0       
Siegfried&Roy	64488461  	10        	66.881    	55.7047786909
Siegfried&Roy	64708386  	5         	37.552    	32.3809835552
Siegfried&Roy	64779433  	8         	1.86375   	31.9888562383
Siegfried&Roy	64784645  	7         	-58.9557142857	34.7756022263
Taurus&Orion	18582734  	14        	-59.8821428571	61.1094153581
Taurus&Orion	18679268  	2         	-13.395   	9.045     
Thelma&Louise	16662354  	11        	10.6390909091	55.8820118162
Thelma&Louise	16697089  	8         	19.32375  	53.6596007108
Venus&Serana	52731468  	3         	-21.4233333333	20.737883745
Venus&Serana	52901457  	2         	-13.05    	7.37      
Venus&Serana	52959177  	9         	23.9944444444	44.2714766742
Venus&Serana	52963792  	1         	-17.24    	0.0       
Venus&Serana	53033449  	1         	-15.08    	0.0       
Zeus&Hera 	26113364  	5         	4.798     	11.4208518071
Zeus&Hera 	26222040  	3         	-4.94     	21.8790965688
